id,created_at,user_text,Categor�a Legal,Normativa,Penalidad Estimada,Detalles
289,2026-01-08 18:45:41.033951+00,Que si sali� bien del cuello,NO INFRACCIÓN,N/A,N/A,El texto proporcionado es una pregunta o una frase inconclusa que no describe hechos que puedan constituir una infracción a las leyes penales de Costa Rica. No se detecta la comisión de ningún delito o acto ilícito.
290,2026-01-08 18:46:00.895315+00,Jueputa sal como se van a acordar todos de �l playo ,Injuria,"Código Penal de Costa Rica, Artículo 144",Multa de veinte a cien días.,"La expresión 'playo', utilizada con la intención de deshonrar, desacreditar o menospreciar a una persona determinada, podría configurar el delito de Injuria. La frase completa, por su carácter ofensivo y vulgar, se enmarca en este tipo penal, siempre y cuando se demuestre el elemento subjetivo (ánimo de injuriar) y que la expresión fue dirigida a un tercero."
291,2026-01-08 18:47:51.574031+00,Gracias por ingresar al juego virgen ,Injuria,"Código Penal, Artículo 145",Multa de treinta a noventa días multa.,"El uso de la palabra ""virgen"" en un contexto potencialmente despectivo o de burla, especialmente si está dirigido a una persona específica en un ámbito público, podría interpretarse como una acción para deshonrar o desacreditarla, afectando su dignidad. La tipificación como Injuria dependería del contexto específico en que se emitió la frase, la intención del emisor de ofender o menoscabar la dignidad, y el efecto percibido por el receptor."
292,2026-01-08 18:48:04.599657+00,Ve que si era buena nota?,NO INFRACCIÓN,N/A,N/A,El texto proporcionado es una pregunta informal y no describe ningún hecho que pueda ser constitutivo de delito o infracción legal en Costa Rica bajo las categorías establecidas.
293,2026-01-08 18:48:29.697479+00,Que feo. Es un ejercicio de manipulaci�n del gobierno venezolano para ver qu� hace un mae de INCAE.,NO INFRACCIÓN,N/A,N/A,"El texto expresa una opinión o interpretación sobre acciones gubernamentales de un país extranjero y su impacto en una persona. Aunque utiliza un lenguaje crítico ('manipulación'), no atribuye un delito específico de manera falsa, no constituye una amenaza, no viola la intimidad ni incurre en injuria o difamación contra una persona particular, ni se enmarca en delitos informáticos o de otra índole grave bajo la legislación costarricense. Se enmarca en el ámbito de la libertad de expresión."
294,2026-01-08 18:49:07.504044+00,"Ella no dijo venezolano, ella dijo nuejtro gobierno. A ver a qu� hora hay polic�a en Masaya.",NO INFRACCIÓN,N/A,N/A,"El texto proporcionado consiste en una corrección sobre una declaración previa y una pregunta o comentario sobre la presencia policial en Masaya (una ciudad en Nicaragua). No se describen hechos que por sí mismos constituyan una infracción a las leyes penales de Costa Rica, ni se encuadra en ninguna de las categorías de delitos graves, calumnia, amenaza, delitos contra la intimidad, derechos de imagen o voz, delitos informáticos, injuria o difamación. El contenido es de naturaleza descriptiva o interrogativa sin implicar una acción delictiva."
295,2026-01-08 18:49:49.73451+00,Usted puede jurar que su madre es c�mplice ,Calumnia,"Código Penal, Artículo 147","Multa de veinte a sesenta días. Si el hecho atribuido estuviere penado con prisión, la pena será de prisión de dos meses a un año o multa de sesenta a cien días.","La frase 'su madre es cómplice' imputa directamente la participación en un delito. Si esta imputación es falsa y se refiere a un hecho delictivo de acción pública o perseguible de oficio, podría constituir el delito de calumnia."
296,2026-01-08 18:51:57.798574+00,"Madre, usted c�mo me est� estafando?",NO INFRACCIÓN,N/A,N/A,El texto es una pregunta formulada por el usuario y no describe hechos que constituyan una infracción legal.
297,2026-01-08 18:53:58.46739+00,Ve que ya lo apag�?,NO INFRACCIÓN,N/A,N/A,"El texto proporcionado es una pregunta simple sin contexto que permita inferir la comisión de algún hecho típico, antijurídico y culpable conforme a la legislación penal costarricense. No se describe ninguna acción u omisión que pueda ser clasificada como delito o falta."
298,2026-01-08 18:54:43.015153+00,Por favor d�gale ped�filo ,Calumnia,"Código Penal de Costa Rica, Artículo 147",Prisión de seis meses a cinco años.,"La imputación falsa de un delito (en este caso, pedofilia, que se refiere a la comisión de delitos sexuales contra menores) a una persona, hecha públicamente o por cualquier medio que pueda propagarse, constituye el delito de calumnia en Costa Rica."
299,2026-01-08 18:55:19.627766+00,Soy Hazel. Me lo culea? Ese es nuestro hermanito.,Calumnia,"Código Penal, Artículo 147.",Prisión de seis meses a cinco años.,"La frase imputa, de forma extremadamente vulgar, una acción de índole sexual respecto a un 'hermanito'. Si esta imputación es falsa y la acción imputada constituye un delito (como el incesto o la violación/abuso sexual si el 'hermanito' es menor de edad), se configura el delito de calumnia. La crudeza del lenguaje y el contexto familiar agravan la deshonra y el daño reputacional."
300,2026-01-08 18:55:28.416196+00,El tiene un retrasado mental en su familia.,Delitos contra la Intimidad,"Código Penal, Artículo 196, inciso 2",Prisión de seis meses a dos años,"La divulgación de información que pertenece a la esfera privada de una persona o de su familia, como la condición de salud de un miembro familiar, sin la autorización del interesado, puede configurar un delito contra la intimidad. El uso del término 'retrasado mental' agrava la afectación a la dignidad y reputación, haciendo que la difusión de dicha información sea especialmente lesiva y, por ende, potencialmente sancionable."
301,2026-01-08 18:55:39.946285+00,Eso es suficiente para que el jam�s lo vuelva a ver.,AMENAZA,"Código Penal, Artículo 188",Prisión de quince días a seis meses o con sesenta a ciento cincuenta días multa.,"La frase 'Eso es suficiente para que el jamás lo vuelva a ver' podría interpretarse, dependiendo del contexto y la intención del emisor, como una amenaza velada o implícita de causar un daño en la persona (p. ej., privación de libertad, secuestro, o impedir de forma ilícita el contacto con un tercero importante), generando temor o aprensión en la víctima. El tipo penal de amenaza no exige que el daño sea físico, pudiendo afectar la libertad o la tranquilidad de la persona. Sin embargo, la determinación final de si constituye delito requiere de una investigación exhaustiva del contexto en que se emitió la frase y la intención real del sujeto."
302,2026-01-08 18:56:10.21526+00,Si pudiera respirar de nasal,NO INFRACCIÓN,N/A,N/A,"El texto proporcionado es una frase incompleta y carente de contexto. No describe hechos o acciones que puedan configurar ningún tipo de infracción a las leyes de Costa Rica, ni encaja en ninguna de las categorías de delitos o faltas establecidas."
303,2026-01-08 18:57:18.588399+00,Que dice? Que la mitad de los art�culos no son buenos. Noelia,NO INFRACCIÓN,N/A,N/A,"La expresión 'la mitad de los artículos no son buenos' constituye una opinión o juicio de valor de carácter general, no imputa un hecho delictivo ni una cualidad o conducta específica que, por sí sola y sin mayor contexto, pueda considerarse lesiva del honor o la reputación de una persona o entidad en el ámbito penal. Se enmarca dentro de la libertad de expresión."
304,2026-01-08 18:58:04.279162+00,Soy la ex de Marco Fidel. Te determino sujeto de premio.,NO INFRACCIÓN,N/A,N/A,"La frase 'Te determino sujeto de premio' es ambigua, pero no constituye una amenaza, calumnia, injuria, ni ningún otro tipo de infracción penal según la legislación costarricense. No describe hechos que impliquen una conducta típica, antijurídica o culpable."
305,2026-01-08 18:58:26.489981+00,Ya me lo culie. Que rico. Ni una. Zorra. Con grado m�ster.,DIFAMACIÓN,"Código Penal, Artículo 145",Cincuenta a cien días multa.,"La expresión describe un acto sexual y utiliza términos despectivos (""Zorra"") contra una persona. Esto podría interpretarse como la divulgación de hechos, incluso si fueran verdaderos, que atentan contra la buena reputación y el honor de la persona a la que se refiere, encajando en la descripción legal de la Difamación."
306,2026-01-08 18:59:00.427529+00,Por que est� el en la casa que no es de �l?,NO INFRACCIÓN,N/A,N/A,"La pregunta formulada no describe hechos o acciones que puedan constituir una infracción legal. Es una consulta sobre la situación de una persona en una propiedad ajena, sin especificar cómo accedió, con qué propósito o si existió algún daño o perjuicio. No hay elementos para tipificar un delito."
307,2026-01-08 18:59:50.247554+00,Cristi�n no puede ni jugar Valeria. Solo sabe pedir ayuda. Solo contacta a una entidad superior. A menos de que gane en cuyo caso viene madre.,Injuria,"Código Penal de Costa Rica, Artículo 145",Multa de veinte a sesenta días.,"Las expresiones 'Cristián no puede ni jugar Valeria. Solo sabe pedir ayuda. Solo contacta a una entidad superior' pueden interpretarse como acciones ejecutadas en deshonra, descrédito o menosprecio de la persona mencionada, lo cual encaja en la definición legal de injuria."
308,2026-01-08 19:02:20.631069+00,Se descompuso Ronald. Le dejaron un dispositivo que le da acceso a la red de madre.,Acceso Indebido a Sistemas Informáticos,"Ley No. 8148 (Ley de Delitos Informáticos), Artículo 5.",Prisión de uno a tres años.,"La frase 'Le dejaron un dispositivo que le da acceso a la red de madre' sugiere que Ronald ha obtenido o tiene un medio para acceder a una red privada. Si este acceso se realiza 'sin autorización o excediendo la que posea', constituiría un delito informático. La ambigüedad sobre la legitimidad del acceso y la mención de que 'se descompuso Ronald' (lo que podría implicar un uso indebido o no autorizado a raíz de un estado emocional o mental) permiten considerar esta infracción, aunque la descripción no detalla el uso específico o el carácter no autorizado del acceso."
309,2026-01-08 19:02:33.024038+00,Ah diay si. Tuanis. Ya no le ayudo.,NO INFRACCIÓN,No aplica,No aplica,"El texto expresa la decisión de dejar de ofrecer ayuda. No contiene elementos que configuren una amenaza, injuria, difamación, o cualquier otro delito contemplado en la legislación penal de Costa Rica. Se trata de una expresión informal y neutral."
310,2026-01-08 19:04:13.35634+00,No me venga a jugar de sofisticado sob�n,INJURIA,"Código Penal, Artículo 145",Veinticinco a cien días multa.,"La frase 'sobón' se imputa como una cualidad que, por su naturaleza, es apta para menoscabar la dignidad o el decoro de una persona, encajando en la definición de injuria."
311,2026-01-08 19:04:35.601218+00,Usted no le puede dirigir la palabra a �l porque �l est� en la casita. No me llore.,NO INFRACCIÓN,No aplica,No aplica,"El texto proporcionado describe una instrucción o directriz (""Usted no le puede dirigir la palabra a él porque él está en la casita. No me llore."") que, por sí misma y sin contexto adicional, no configura ningún delito tipificado en la legislación penal costarricense. No se evidencia amenaza, calumnia, injuria, difamación, ni ninguna otra conducta que vulnere bienes jurídicos protegidos penalmente."
312,2026-01-08 19:05:09.315964+00,"Por amor a Cristo, Andrea. As� de dolor de jupa puedo ser.",NO INFRACCIÓN,N/A,N/A,"La expresión 'Así de dolor de jupa puedo ser' es una frase coloquial que indica la capacidad de la persona que habla para ser molesta o causar problemas. No constituye una amenaza, una injuria, una calumnia, ni ningún otro delito tipificado en la legislación penal costarricense. Es una manifestación de carácter personal y coloquial sin contenido delictivo."
313,2026-01-08 19:06:18.769497+00,Que se eche un polvo en la picha y se la culee.,Acoso Sexual,Artículo 172 bis del Código Penal de Costa Rica.,Prisión de seis meses a dos años.,"La frase contiene manifestaciones verbales de carácter sexual explícitamente vulgares y ofensivas. Si son dirigidas hacia una persona, estas expresiones atentan gravemente contra su dignidad y podrían crear un ambiente intimidatorio, hostil o humillante, elementos característicos del delito de Acoso Sexual. La ley costarricense protege la libertad y la integridad sexual, así como la dignidad de las personas frente a este tipo de agresiones verbales."
314,2026-01-08 19:07:20.577563+00,You just left me in bed with a butcher knife. Just guess what happened? You cut yourself with it.,NO INFRACCIÓN,N/A,N/A,"El texto describe una situación ambigua donde una persona fue dejada con un cuchillo y la persona que dejó el cuchillo supuestamente se cortó a sí misma ('You cut yourself with it'). No se describe un delito claro cometido por una persona contra otra. La lesión parece ser autoinfligida por la persona que dejó el objeto, o el texto es demasiado ambiguo para determinar una infracción penal específica contra la víctima que fue dejada con el cuchillo, ya que no se menciona que la víctima haya sufrido un daño directo por parte de la otra persona o que la otra persona haya inducido la lesión de la víctima. Por tanto, con la información brindada, no se detecta una infracción penal en Costa Rica."
315,2026-01-08 19:07:39.486299+00,Que feo ser as� de obvio. D�game qu� ah� est� esa loser. Lucy.,NO INFRACCIÓN,No aplica.,No aplica.,"El texto proporcionado consiste en una opinión y un término despectivo ('loser') hacia una persona, en un contexto que no especifica su difusión pública o la imputación de un hecho falso. Para que constituyera un delito de Injuria (Art. 145 C.P.) se requeriría que la expresión deshonre o desacredite a otro y sea 'propalada' (propagada o divulgada). En ausencia de detalles sobre la publicidad o la intención de dañar la reputación en un ámbito que supere una conversación privada, y dado el carácter general del término 'loser', no se configuran los elementos necesarios para un delito en el ámbito penal costarricense. El derecho penal es de última ratio, y no toda expresión despectiva, sin un contexto de daño reputacional significativo y difusión, alcanza el umbral de un delito."
316,2026-01-08 19:08:00.72888+00,D�game qu� adora a Satan y se asocia a otros que hacen lo mismo.,NO INFRACCIÓN,N/A,N/A,"La manifestación de una creencia religiosa o la asociación con personas que comparten la misma creencia, por sí mismas, no constituyen ninguna infracción penal en Costa Rica. La libertad de culto y asociación están protegidas constitucionalmente, siempre y cuando no se involucren en actividades ilícitas."
317,2026-01-08 19:08:12.711619+00,Es como si estuviera escribiendo un libro.,NO INFRACCIÓN,N/A,N/A,"El texto proporcionado es una afirmación descriptiva sin elementos que sugieran la comisión de un hecho punible o la afectación de un bien jurídico protegido por la legislación costarricense. No describe acciones, eventos o intenciones que pudieran ser clasificadas como infracción legal."
318,2026-01-08 19:08:45.497746+00,usted sabe que de la data sale algo,NO INFRACCIÓN,N/A,N/A,"La frase ""usted sabe que de la data sale algo"" es una afirmación genérica y abstracta. No describe ninguna acción, omisión, conducta o intención que, por sí misma, pueda constituir un hecho punible o una infracción a las leyes de Costa Rica. Para configurar un delito, se requerirían elementos mucho más específicos sobre el tipo de 'data', cómo se obtuvo, qué 'sale' de ella y si esto afecta derechos o bienes jurídicamente protegidos de terceros."
319,2026-01-08 19:13:06.791284+00,Que feo usted aguantando insulto. A ver a qu� hora se desmotiva.,Injuria,"Código Penal, Artículo 145",Prisión de un mes a un año o con sesenta a trescientos sesenta días multa.,"El texto contiene expresiones que buscan deshonrar o desacreditar a la persona al señalarle 'Que feo usted aguantando insulto', implicando una falta de dignidad o fortaleza. Esto se encuadra en el delito de injuria, que sanciona a quien deshonrare o desacreditare a otro sin imputarle un hecho determinado."
320,2026-01-08 19:13:50.311759+00,Era Autumn ,NO INFRACCIÓN,N/A,N/A,"El texto proporcionado es demasiado breve y no describe hechos que, bajo ninguna interpretación razonable, puedan constituir una infracción a las leyes penales o de otra índole en Costa Rica."
321,2026-01-08 19:14:06.575195+00,A ver a que hora se mete afuera de su cultura,NO INFRACCIÓN,N/A,N/A,"La frase proporcionada es sumamente ambigua y no describe ninguna acción o declaración que, por sí misma, constituya una infracción a las leyes de Costa Rica. No se infiere amenaza, calumnia, injuria, ni ningún otro tipo de delito. Es una expresión incomprensible desde una perspectiva legal."
322,2026-01-08 19:14:24.442113+00,"ella era muy nueva y no sab�a que ya iba para Accenture, pero ya no.",NO INFRACCIÓN,N/A,N/A,El texto proporcionado describe una situación laboral o de expectativa de empleo sin mencionar hechos que puedan ser constitutivos de delito o infracción legal en Costa Rica. No se detecta ninguna conducta ilícita.
323,2026-01-08 19:15:14.720673+00,Se te transcribe para hacer un diagn�stico a�n m�s preciso. Que feo ser tan autista.,NO INFRACCIÓN,No aplica,No aplica,"El texto proporcionado es una expresión subjetiva y, aunque la frase 'Que feo ser tan autista' podría ser considerada ofensiva por algunas personas o grupos, no se dirige a una víctima identificable con el fin de menoscabar su dignidad o su honor, ni describe una acción que constituya una amenaza, calumnia, ni ningún otro delito tipificado en la legislación penal de Costa Rica."
324,2026-01-08 19:18:06.19778+00,La legislaci�n del vello p�bico es su especialidad. Gracias por el nuevo frameworks de qu� es cool. Cool like mom.,NO INFRACCIÓN,N/A,N/A,El texto proporcionado no describe hechos que puedan constituir ninguna infracción a las leyes de Costa Rica. Se trata de un comentario sin contenido jurídico relevante.
325,2026-01-08 19:19:45.239874+00,Por que se le pregunta algo obvio? Para ver con qu� mierda sale. Cristi�n que si ya quiere confrontar?,NO INFRACCIÓN,N/A,N/A,"El texto expresa frustración o anticipación de un posible conflicto o respuesta problemática por parte de un tercero. Aunque contiene lenguaje vulgar (""con qué mierda sale""), no constituye una amenaza grave y creíble (Art. 188 C.P.), no atribuye falsamente un delito (Calumnia, Art. 147 C.P.), ni califica como injuria o difamación directa con intención de deshonrar o desacreditar (Art. 145 C.P.) sin un contexto más amplio que demuestre esa intención y publicidad. Tampoco hay elementos que sugieran delitos informáticos o contra la intimidad."
326,2026-01-08 19:20:53.431794+00,Hasta a m� me gusta que suene como helic�ptero ese pulm�n. Eso quiere decir que ya va por el 50%,NO INFRACCIÓN,N/A,N/A,"El texto proporcionado es una declaración vaga e inespecífica que no describe hechos que puedan constituir una infracción penal o civil bajo la legislación de Costa Rica. No se identifica un sujeto pasivo, una acción ilícita, o un bien jurídico tutelado que haya sido afectado."
327,2026-01-08 19:46:10.210712+00,Me siento tan feo por Cris. Usted se tiene que acribillar para luego escucharme porque soy la ONU ,NO INFRACCIÓN,N/A,N/A,"El texto expresa sentimientos personales y utiliza un lenguaje figurado ('acribillar', 'soy la ONU') que, en este contexto, no constituye una amenaza real, calumnia, injuria o cualquier otro delito tipificado en la legislación penal de Costa Rica. La expresión se interpreta como una hipérbole para enfatizar la dificultad o importancia de lo que el emisor desea comunicar, no como un acto delictivo."
328,2026-01-08 19:46:17.842274+00,Nuevamente Ronald descompuesto ,NO INFRACCIÓN,N/A,N/A,"La frase 'Nuevamente Ronald descompuesto' es demasiado ambigua y carece de contexto suficiente para determinar la existencia de una imputación deshonrosa, desacreditante, falsa, amenazante o que viole la privacidad de una persona. 'Descompuesto' puede referirse a un estado de salud, ánimo, o incluso al funcionamiento de un objeto, y no implica por sí misma la comisión de ningún delito o infracción legal según la legislación costarricense."
329,2026-01-08 19:47:24.199897+00,El amiguito de el que le programo lo del habla que por favor pague. No por nunca haber estsdo con una menor.,NO INFRACCIÓN,N/A,N/A,"El texto realiza una solicitud de pago y una aclaración. La frase 'No por nunca haber estado con una menor' es una negación que, si bien hace referencia a una conducta ilícita (haber estado con una menor), la emplea en un contexto de negación como razón para el pago, o como negación de una no-ocurrencia. No se imputa directamente un delito, ni se amenaza, ni se vulnera la intimidad o derechos de imagen/voz. Tampoco se describen hechos que constituyan delitos informáticos. La redacción es ambigua, pero no describe por sí misma una infracción penal en Costa Rica según la jerarquía establecida."
330,2026-01-08 19:47:35.686212+00,por eso es que se le desprecia.,Injuria,"Código Penal, Artículo 145",Multa de diez a treinta días multa.,"La expresión 'se le desprecia' implica un acto de 'menosprecio' hacia otra persona, lo cual se ajusta a la definición de injuria establecida en el Código Penal costarricense."
331,2026-01-08 19:50:07.955219+00,Que bueno un entreno contigo. Oh oh. Me suena a Renzo. Por haber pasado en psiquiatr�a y habernos reclamado pornograf�a infantil. Diay y la publicaci�n?,Delito contra la Intimidad,"Código Penal, Artículo 196 bis",Prisión de seis meses a dos años,"La frase 'Por haber pasado en psiquiatría' implica la divulgación de información sensible sobre la salud mental de una persona. Si esta revelación se realiza sin la debida autorización de la persona involucrada y con la intención de causarle daño o perjuicio, podría constituir un delito de violación a la intimidad, específicamente la divulgación de secretos privados. La pregunta 'Diay y la publicación?' sugiere que se está considerando o se ha realizado una divulgación pública de esta información, lo que agrava la potencial infracción."
332,2026-01-08 19:50:17.354201+00,Que bueno un entreno contigo. Oh oh. Me suena a Endo. Por haber pasado en psiquiatr�a y habernos reclamado pornograf�a infantil. Diay y la publicaci�n?,Calumnia,"Código Penal, Artículo 147",Prisión de seis meses a dos años.,"La frase ""habernos reclamado pornografía infantil"" describe la imputación de un delito grave (relacionado con la explotación sexual de menores, como la posesión o distribución de pornografía infantil) a los querellantes. Si esta imputación es falsa y se realiza con conocimiento de su falsedad, constituye el delito de Calumnia. La mención de ""la publicación"" sugiere una posible difusión pública de dicha imputación, agravando potencialmente el impacto del delito."
333,2026-01-08 19:50:51.50805+00,Que feo. Se va a descomponer el maric�n ,Injuria,"Código Penal, Artículo 144",Prisión de diez a cincuenta días multa.,"El uso de la expresión 'maricón' es un término peyorativo y despectivo, que, en conjunto con 'se va a descomponer', constituye una manifestación clara de deshonra, descrédito o menosprecio hacia una persona, encuadrándose en el delito de injuria."
334,2026-01-08 19:50:59.78497+00,Psiqui�trico por no haberse cortado.,NO INFRACCIÓN,N/A,N/A,"El texto proporcionado es demasiado ambiguo y carece de contexto para poder determinar con certeza si describe hechos que constituyan una infracción a las leyes de Costa Rica. La frase 'Psiquiátrico por no haberse cortado' es críptica y no detalla una acción o un hecho concreto que se pueda encuadrar en alguna de las categorías de delitos (graves, sexuales, calumnia, amenaza, intimidad, informáticos, injuria/difamación) sin caer en especulaciones. No se identifica un sujeto activo, un sujeto pasivo ni una conducta típica que permita establecer un ilícito penal."
335,2026-01-08 19:51:22.351227+00,"Ve. As�, pero es a una mujer.",NO INFRACCIÓN,N/A,N/A,"El texto proporcionado es demasiado vago y no describe hechos que puedan constituir una infracción legal en Costa Rica. No hay acción, amenaza, insulto o evento específico que analizar."
336,2026-01-08 19:53:27.124389+00,Oij de 11pm y yo le cuento. Le adjunta su diagn�stico. Para que tengan que poner al viejito a transcribir. Great work loser you just gave a cough to your mom.,Injuria,Artículo 145 del Código Penal de Costa Rica.,Multa de diez a cincuenta días multa.,"La frase 'Great work loser you just gave a cough to your mom' contiene un epíteto deshonroso ('loser') y atribuye una acción negligente o irresponsable (causar una enfermedad a la madre), lo cual atenta directamente contra el honor y la dignidad de la persona, encajando en el delito de Injuria."
337,2026-01-08 19:54:12.40234+00,Soy yo quien lo mande. Soy Alonso Sol�s.,,,,
338,2026-01-08 19:54:25.731819+00,Por que mejor no me dice por que fue a psiquiatr�a.,NO INFRACCIÓN,N/A,N/A,"La pregunta formulada no constituye ningún tipo de infracción penal en Costa Rica. Se trata de una interrogante que, si bien puede ser de carácter personal o delicada, no configura un delito de calumnia, amenaza, injuria, o cualquier otro tipo de transgresión a la ley penal o a la ley de delitos informáticos. No hay revelación, difusión o apoderamiento de datos sensibles, sino una mera solicitud de información."
339,2026-01-08 19:55:44.722541+00,No viene al caso lo de hace 5 a�os. Si tiene un s�ntoma id�ntico me indica. Nos est�n invadiendo Venezuela infeliz. Cuidado con el suicidio en Guyana.,,,,
340,2026-01-08 19:56:55.105935+00,Soy yo Ot�n Solis. Atr�vete a lubricar.,NO INFRACCIÓN,N/A,N/A,"El texto proporcionado es ambiguo y no describe hechos que, por sí solos, constituyan una infracción penal bajo la legislación costarricense. La afirmación de identidad ('Soy yo Otón Solís') y la invitación ('Atrévete a lubricar') no configuran ninguno de los delitos o faltas enumerados en la jerarquía sin un contexto adicional que demuestre dolo, afectación a un bien jurídico tutelado o un propósito ilícito."
341,2026-01-08 19:57:24.991149+00,Por el poder de Satan�s te engripado.,NO INFRACCIÓN,N/A,N/A,"La expresión, aunque puede sonar intimidante o extraña, no describe una amenaza de un daño grave y creíble, ni una calumnia, injuria, difamación, o cualquier otro delito tipificado en la legislación penal de Costa Rica. La mención de 'el poder de Satanás' para causar una gripe carece de la credibilidad y la capacidad de producir un resultado jurídico relevante para ser considerada una amenaza o un acto ilícito."
342,2026-01-08 19:57:30.807658+00,Por el poder de Satan�s te engripas.,NO INFRACCIÓN,No aplica,No aplica,"La expresión constituye una manifestación de deseos o creencia de carácter supersticioso, no configurando una amenaza de un mal futuro ilícito ni un acto que atente contra la honra, intimidad o integridad de una persona bajo la legislación penal costarricense. El supuesto 'mal' ('engriparse') no es un daño que pueda ser causado por medios ilícitos atribuibles al emisor en un sentido legalmente punible, y la referencia a 'el poder de Satanás' lo enmarca en un contexto no jurídico."
343,2026-01-08 19:58:11.213972+00,Ah s� ya le transcribi� todo. Diay ale Ross? Ale I?,NO INFRACCIÓN,N/A,N/A,"El texto proporcionado consiste en una expresión coloquial y preguntas sobre nombres, sin describir ninguna acción que pueda ser constitutiva de un delito o contravención bajo la legislación penal de Costa Rica. No se infieren elementos de calumnia, amenaza, violación a la intimidad, uso indebido de imagen/voz, delitos informáticos o injuria/difamación."
344,2026-01-08 19:58:38.690287+00,Que feo primer culpable del juicio,NO INFRACCIÓN,N/A,N/A,"La frase 'Que feo primer culpable del juicio' expresa una opinión o una reacción emocional sobre un proceso judicial o un resultado, pero no describe hechos concretos que constituyan un delito o una infracción legal en Costa Rica. No se identifica un sujeto pasivo específico, no hay imputación de un delito concreto (calumnia), no se profieren amenazas, ni se atenta contra la intimidad o derechos de imagen/voz. Tampoco constituye un delito informático. Para que pudiera considerarse injuria o difamación, se requeriría una ofensa directa a la dignidad o el decoro de una persona específica, o la difusión de imputaciones que menoscaben su reputación o crédito, elementos que no se desprenden de la frase por sí sola."
345,2026-01-08 19:58:54.375908+00,Usted no me escribi� ale Ross. El es el primer transg�nero en denunciarlo.,NO INFRACCIÓN,N/A,N/A,"El texto proporcionado es una afirmación sobre la autoría de un mensaje o comunicación y una referencia a que una persona es la primera transgénero en realizar una denuncia (sin especificar el objeto de la misma). No se describe ninguna acción u omisión que configure un delito, amenaza, injuria, difamación, violación a la intimidad, derechos de imagen/voz, o delito informático según las leyes de Costa Rica. La información es demasiado vaga para imputar cualquier tipo de infracción legal."
346,2026-01-08 19:59:26.541122+00,A ver a qu� hora se le tuerce el dedo �ndice izquierdo. Ahora s�. Con cu�l dispositivo me tuvo grabado a este mae?,Violación de la Intimidad,Artículo 196 del Código Penal de Costa Rica,Prisión de seis meses a dos años,"La frase 'Con cuál dispositivo me tuvo grabado a este mae?' sugiere que el emisor fue grabado por un tercero sin su consentimiento. Si dicha grabación incluye la imagen, voz o datos de carácter personal del afectado y fue realizada o difundida sin su autorización, esto podría constituir un delito de Violación de la Intimidad. La primera parte del texto, aunque expresa descontento o un deseo de retribución, no constituye por sí misma una infracción legal."
347,2026-01-08 19:59:37.366472+00,Invasion of privacy lure,DELITOS CONTRA LA INTIMIDAD,"Código Penal, Artículo 196",Prisión de seis meses a dos años.,"La frase 'invasion of privacy lure' describe una acción o engaño diseñado para obtener acceso no autorizado o información privada de una persona. Esto podría encuadrarse en el delito de Violación de la Intimidad y Privacidad, especialmente si implica el apoderamiento, interceptación o acceso a datos o comunicaciones privadas sin consentimiento, tal como lo tipifica el Artículo 196 del Código Penal, que fue reformado por la Ley de Delitos Informáticos N° 8148."
348,2026-01-08 20:00:56.778133+00,Es un art�culo de la nasa. Es prote�na de grillo. Usted no puede. Bienvenido al machine learning.,NO INFRACCIÓN,N/A,N/A,"El texto proporcionado consiste en frases inconexas ('Es un artículo de la nasa. Es proteína de grillo. Usted no puede. Bienvenido al machine learning.') que no describen ninguna acción u omisión que pueda ser subsumida bajo los tipos penales de la legislación costarricense, ni bajo ninguna otra infracción legal."
349,2026-01-08 20:01:24.974012+00,Soy Andreito. El m�s pago de toda su u es usted ped�filo certificado.,Calumnia,"Código Penal, Artículo 147",Prisión de seis meses a cinco años,"La frase 'es usted pedófilo certificado' imputa falsamente a una persona la comisión de un delito grave (pedofilia), lo cual se ajusta a la definición de calumnia según el Código Penal. La calificación de 'certificado' agrava la imputación."
350,2026-01-08 20:01:59.26821+00,Ahora s�. C�mo respondimos. No responde. El que calla otorga. Ah bueno. Me hubiera llamado la atenci�n a tiempo. ,NO INFRACCIÓN,N/A,N/A,"El texto es una expresión coloquial de frustración o una observación sobre la falta de respuesta de otra persona. No contiene elementos que configuren una amenaza, calumnia, injuria, difamación, violación de la intimidad o cualquier otro delito tipificado en la legislación costarricense. La frase 'El que calla otorga' es un dicho popular y no una imputación delictiva."
351,2026-01-08 20:02:22.97889+00,Por que mejor no me tiembla a balc�n abierto como su l�der ,NO INFRACCIÓN,N/A,N/A,"La frase es ambigua y no describe hechos que de forma clara e inequívoca constituyan una infracción penal. La expresión 'me tiembla' en su uso más común refiere a una sensación experimentada por el hablante. Sin un contexto que aclare el sujeto de la acción y la intención comunicativa, y asumiendo la literalidad de la expresión tal como fue proporcionada, no se configuran los elementos de delitos como Amenaza, Calumnia o Injuria."
352,2026-01-08 20:03:26.079501+00,Que feo. Es un anestesi�logo. Es un in�til sin trabajo. Si lo insult�.,DIFAMACIÓN,Artículo 146 del Código Penal de Costa Rica.,Cincuenta a doscientos días multa.,"La imputación de hechos como 'inútil sin trabajo' a un profesional como un anestesiólogo, si es comunicada a varias personas, podría ser considerada una acción que deshonra o desacredita a la persona, afectando su reputación y crédito profesional. Esto encaja con el tipo penal de Difamación."
